FA,AR,CH,WA,RO,WI,WWRN,WWRS,SH,OR,CL
150,0.66,3.0,1.57,2.74,1.76,10,30,0.5,0,91.152051
250,1.0,2.5,0.29,0.29,2.66,10,10,4.0,0,70.34066142
250,1.0,3.0,0.74,0.2,2.66,30,50,0.0,0,119.4276869
150,0.5,2.5,1.57,2.74,4.23,30,70,0.0,0,101.9171037
150,0.25,3.5,1.77,2.67,1.76,50,10,0.0,0,87.8994033
200,0.25,4.0,2.65,2.74,5.77,90,90,0.4,270,164.3584003
250,0.33,3.5,1.57,1.72,2.66,50,30,0.0,0,109.3720105
150,1.0,2.5,1.57,1.72,1.76,50,10,1.0,0,83.01811371
200,0.25,3.0,1.77,2.74,4.23,10,10,1.0,0,78.55786474
250,0.33,4.0,1.57,2.67,5.77,90,90,0.0,180,176.9583263
250,0.5,4.0,1.57,1.72,4.23,70,70,0.0,90,180.3789747
250,0.25,2.5,0.34,1.72,1.76,10,10,4.0,270,69.18688296
200,0.66,4.0,0.29,1.72,4.23,90,90,0.0,270,249.8290019
200,0.33,3.0,1.77,1.72,5.77,50,50,0.0,270,125.9184525
200,1.0,2.5,2.5,0.29,1.76,10,10,4.0,180,80.63725915
150,0.66,3.5,1.57,1.72,1.76,50,50,0.0,0,122.2297358
150,0.66,3.0,1.57,1.72,4.23,10,30,2.0,0,92.45541113
200,1.0,3.0,1.57,1.72,4.23,30,90,0.0,0,141.2003174
200,0.33,4.0,0.29,2.67,4.23,70,70,0.0,270,154.6192667
150,0.5,3.0,1.77,1.72,4.23,70,30,0.0,0,109.9001953
250,0.5,3.0,0.34,0.29,2.66,30,10,1.0,90,79.26789286
200,0.33,2.5,1.77,1.72,5.77,30,50,0.0,90,106.97115
250,0.5,3.0,1.57,2.67,1.76,30,10,3.0,0,82.92937113
200,0.25,2.5,2.65,2.74,2.66,10,10,4.0,90,77.70518754
250,0.33,3.0,1.57,0.29,1.76,10,10,3.0,0,74.82919196
250,0.66,4.0,1.77,2.74,5.77,90,90,1.0,270,235.5654517
200,0.25,3.0,2.5,2.67,1.76,30,30,2.0,0,82.25828644
200,0.5,2.5,0.34,0.2,1.76,50,10,0.0,0,79.39955617
150,0.25,3.5,0.34,2.67,2.66,50,70,0.0,0,106.1203365
